freq,w_k,w_d,w_c,w_e
0.100,31.2,62.4,62.4,62.5
0.125,48.6,97.3,97.2,97.5
0.160,79.0,158.0,158.0,159.0
0.200,121.0,243.0,243.0,245.0
0.250,182.0,365.0,364.0,368.0
0.315,263.0,530.0,527.0,536.0
0.400,352.0,713.0,708.0,723.0
0.500,418.0,853.0,843.0,862.0
0.630,459.0,944.0,929.0,939.0
0.800,477.0,992.0,972.0,941.0
1.000,482.0,1011.0,991.0,880.0
1.250,484.0,1008.0,1000.0,772.0
1.600,494.0,968.0,1007.0,632.0
2.000,531.0,890.0,1012.0,512.0
2.500,631.0,776.0,1017.0,409.0
3.150,804.0,642.0,1022.0,323.0
4.000,967.0,512.0,1024.0,253.0
5.000,1039.0,409.0,1013.0,202.0
6.300,1054.0,323.0,974.0,160.0
8.000,1036.0,253.0,891.0,125.0
10.00,988.0,212.0,776.0,100.0
12.50,902.0,161.0,647.0,80.1
16.00,768.0,125.0,512.0,62.5
20.00,636.0,100.0,409.0,50.0
25.00,513.0,80.0,325.0,39.9
31.50,405.0,63.2,256.0,31.6
40.00,314.0,49.4,199.0,24.7
50.00,246.0,38.8,156.0,19.4
63.00,186.0,29.5,118.0,14.8
80.00,132.0,21.1,84.4,10.5
100.0,88.7,14.1,56.7,7.1
